Passengers,Dist2Sta,Rooms,Area,Age,TransYear,TransQ,CPI,Value
15629.818181818182,4.0,3.0,75,22.0,2021,2,99.8,4200.0
15629.818181818182,4.0,3.0,60,42.0,2021,2,99.8,2300.0
15629.818181818182,3.0,5.0,90,41.0,2020,4,100.0,3200.0
15629.818181818182,3.0,,90,40.0,2019,4,100.0,2600.0
15629.818181818182,4.0,3.0,70,40.0,2019,4,100.0,2800.0
15629.818181818182,6.0,4.0,80,20.0,2019,1,100.0,4500.0
1952.3,6.0,4.0,70,8.0,2024,1,108.0,3600.0
1952.3,7.0,3.0,60,26.0,2023,2,105.6,2500.0
1952.3,6.0,4.0,65,6.0,2022,4,102.3,3300.0
1952.3,6.0,4.0,65,6.0,2022,1,102.3,3000.0
1952.3,4.0,,85,28.0,2021,4,99.8,2300.0
1952.3,6.0,4.0,65,5.0,2021,3,99.8,3500.0
1952.3,5.0,4.0,75,30.0,2021,3,99.8,2200.0
1952.3,6.0,,70,5.0,2021,3,99.8,3200.0
1952.3,5.0,5.0,80,28.0,2019,3,100.0,1300.0
1952.3,6.0,4.0,60,18.0,2019,2,100.0,2600.0
15629.818181818182,10.0,,85,23.0,2022,3,102.3,5300.0
27120.9,6.0,4.0,65,24.0,2023,2,105.6,3100.0
27120.9,5.0,4.0,90,24.0,2022,4,102.3,5800.0
27120.9,6.0,3.0,85,23.0,2022,2,102.3,5200.0
27120.9,6.0,2.0,25,38.0,2022,1,102.3,650.0
27120.9,6.0,2.0,55,22.0,2021,4,99.8,3500.0
27120.9,5.0,4.0,80,22.0,2020,3,100.0,4900.0
27120.9,6.0,3.0,55,20.0,2019,2,100.0,2800.0
27120.9,5.0,5.0,105,21.0,2019,2,100.0,5800.0
26831.7,13.0,4.0,70,44.0,2022,1,102.3,1500.0
26831.7,13.0,4.0,65,1.0,2022,1,102.3,4500.0
26831.7,13.0,4.0,65,0.0,2021,4,99.8,4900.0
26831.7,13.0,5.0,80,0.0,2021,4,99.8,5300.0
20094.2,11.0,4.0,65,26.0,2022,4,102.3,3300.0
12225.7,15.0,,85,27.0,2023,3,105.6,2200.0
12225.7,15.0,4.0,90,26.0,2022,1,102.3,3400.0
12225.7,15.0,3.0,85,46.0,2020,4,100.0,800.0
12225.7,19.0,,85,45.0,2019,4,100.0,630.0
12225.7,14.0,4.0,95,32.0,2019,4,100.0,3700.0
12225.7,15.0,,85,23.0,2019,2,100.0,2500.0
27120.9,21.0,4.0,60,20.0,2023,4,105.6,2700.0
27120.9,23.0,4.0,60,19.0,2023,4,105.6,2800.0
27120.9,20.0,5.0,85,37.0,2023,2,105.6,3400.0
27120.9,20.0,4.0,85,36.0,2022,4,102.3,2800.0
27120.9,18.0,4.0,85,18.0,2021,3,99.8,3700.0
27120.9,18.0,5.0,90,18.0,2021,3,99.8,2900.0
95281.1,30.0,3.0,85,49.0,2021,3,99.8,2500.0
95281.1,24.0,4.0,90,33.0,2019,3,100.0,2500.0
95281.1,24.0,4.0,70,20.0,2019,2,100.0,2000.0
48903.0,25.0,4.0,60,16.0,2019,1,100.0,2300.0
31877.3,14.0,5.0,70,12.0,2021,3,99.8,3600.0
4206.7,11.0,3.0,80,13.0,2022,3,102.3,4000.0
4206.7,11.0,5.0,85,3.0,2022,1,102.3,5200.0
4206.7,11.0,5.0,85,3.0,2022,1,102.3,4700.0
4206.7,11.0,4.0,80,2.0,2021,4,99.8,4300.0
4206.7,11.0,4.0,70,11.0,2020,4,100.0,3400.0
4206.7,11.0,5.0,75,17.0,2019,4,100.0,3300.0
4206.7,11.0,4.0,75,10.0,2019,3,100.0,3600.0
52071.7,11.0,4.0,95,14.0,2024,1,108.0,6500.0
52071.7,13.0,,65,23.0,2023,4,105.6,2300.0
52071.7,11.0,4.0,70,13.0,2023,4,105.6,4800.0
52071.7,18.0,4.0,70,37.0,2023,3,105.6,2300.0
52071.7,15.0,4.0,65,26.0,2023,2,105.6,3500.0
52071.7,10.0,4.0,80,12.0,2022,1,102.3,3800.0
52071.7,13.0,2.0,20,26.0,2021,4,99.8,500.0
52071.7,12.0,2.0,20,26.0,2021,4,99.8,540.0
52071.7,13.0,2.0,20,26.0,2021,3,99.8,450.0
52071.7,18.0,4.0,70,34.0,2020,4,100.0,2100.0
52071.7,13.0,2.0,20,25.0,2020,3,100.0,510.0
52071.7,11.0,4.0,70,9.0,2019,3,100.0,4400.0
36670.72727272727,14.0,3.0,65,23.0,2024,1,108.0,3400.0
36670.72727272727,20.0,4.0,50,26.0,2023,4,105.6,1400.0
36670.72727272727,12.0,3.0,55,51.0,2023,4,105.6,1600.0
36670.72727272727,15.0,4.0,70,22.0,2023,3,105.6,3700.0
36670.72727272727,15.0,,70,24.0,2023,3,105.6,2900.0
36670.72727272727,13.0,3.0,45,51.0,2023,2,105.6,1500.0
36670.72727272727,13.0,3.0,45,51.0,2023,2,105.6,1100.0
36670.72727272727,10.0,4.0,70,14.0,2023,2,105.6,4100.0
36670.72727272727,12.0,,55,50.0,2022,4,102.3,810.0
36670.72727272727,14.0,,65,11.0,2022,4,102.3,3000.0
36670.72727272727,13.0,3.0,45,50.0,2022,2,102.3,620.0
36670.72727272727,15.0,3.0,60,22.0,2021,4,99.8,2900.0
36670.72727272727,12.0,3.0,40,49.0,2021,2,99.8,600.0
36670.72727272727,13.0,4.0,55,49.0,2021,2,99.8,1600.0
36670.72727272727,14.0,4.0,70,21.0,2019,3,100.0,2500.0
3767.8,12.0,4.0,80,21.0,2023,3,105.6,4000.0
3767.8,14.0,,70,36.0,2022,4,102.3,2100.0
3767.8,11.0,4.0,60,20.0,2022,2,102.3,3100.0
3767.8,13.0,4.0,75,3.0,2022,2,102.3,4700.0
26831.7,4.0,4.0,80,22.0,2023,4,105.6,4500.0
26831.7,8.0,4.0,80,23.0,2023,3,105.6,3800.0
26831.7,11.0,4.0,70,22.0,2022,4,102.3,3900.0
