,評定者,対象,小さい,綺麗,癒し,柔らかい,ふわふわ,あたたかい,お洒落,美しい,優しい,女の子らしい,素敵,丸い,きらきら,無邪気,和み,幼い,華やか
159,obSIK8Bry,色白,1,2,2,2,2,2,0,2,2,2,2,0,2,0,2,0,1
160,Ivxlf4VuU,猫,0,1,2,1,1,1,-1,1,-1,-2,1,0,-1,1,2,0,-1
161,Ivxlf4VuU,祖父母が飼っている犬,0,-1,1,1,1,1,-1,-2,-1,-2,-1,0,-2,2,1,0,-2
162,Ivxlf4VuU,幸せそうな笑顔,-1,1,1,1,0,2,-1,1,2,-1,2,1,-1,0,2,1,0
163,Ivxlf4VuU,外国の民芸品,0,2,1,0,0,0,1,1,2,-1,2,0,0,-1,1,-1,2
164,vCRAu6MT0,篠田麻里子,-2,2,2,-2,-2,2,2,2,2,2,2,-2,2,2,2,-2,2
165,6OJl9rM7g,パンダ,0,-2,2,2,2,2,-2,-2,1,-2,2,2,-2,2,2,0,-2
166,wL0tYZYUS,赤ちゃん,2,0,2,2,-2,2,-2,-1,-1,-1,-1,1,1,2,2,2,1
167,HTuQxp6Dk,犬,2,0,2,1,2,2,0,0,1,0,0,1,0,2,2,0,0
168,6OJl9rM7g,赤ちゃん,2,-2,2,2,2,2,-2,-2,-2,-2,2,2,-2,2,2,2,-2
169,mclyPQP7M,動物,2,0,2,2,2,2,-1,2,1,0,1,2,1,2,2,2,2
170,ujVPyd39o,大型犬,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
171,4G1BHLSiM,犬,1,-1,2,2,2,2,-1,-1,0,-1,1,1,0,2,2,2,0
172,wL0tYZYUS,犬,2,2,2,2,2,2,2,2,2,-2,1,2,-1,2,2,2,2
173,6Xg+rv8Vi,犬,0,-2,2,2,2,2,-2,-2,2,-1,-1,2,2,2,2,2,-2
174,Rj/I2VCKg,アクセサリー,1,2,2,0,2,0,2,2,0,2,2,0,2,0,2,1,2
175,6e5WchKpo,友達,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,0,0
176,neOpYpc06,外国の女の子,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
177,f6XIptva8,海外の小物,-1,0,-1,-2,1,-1,2,1,0,2,1,0,2,0,1,-1,2
178,xdR2ejI10,犬,0,-2,2,2,2,2,-1,-2,2,0,-1,2,1,2,2,2,-1
179,6OJl9rM7g,赤色の財布,-2,2,-2,-2,-2,-2,2,2,-2,-2,2,-2,2,-2,-2,-2,2
