,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
874,甲陽園,6.0,4.0,３ＬＤＫ,70.0,2023.0,17.0,ＲＣ,１中住専,改装済み,4000.0
875,甲陽園,4.0,5.0,４ＬＤＫ,85.0,2023.0,24.0,ＲＣ,近隣商業,改装済み,4300.0
876,甲陽園,6.0,4.0,３ＬＤＫ,70.0,2022.0,16.0,ＲＣ,１中住専,未改装,3200.0
877,甲陽園,6.0,4.0,２ＬＤＫ＋Ｓ,60.0,2021.0,9.0,ＲＣ,１中住専,未改装,3200.0
878,甲陽園,1.0,3.0,２ＬＤＫ,45.0,2025.0,54.0,ＲＣ,近隣商業,未改装,1600.0
879,甲陽園,1.0,3.0,２ＤＫ,60.0,2024.0,53.0,ＲＣ,近隣商業,改装済み,2400.0
880,甲陽園,3.0,4.0,３ＬＤＫ,75.0,2024.0,47.0,ＳＲＣ,近隣商業,未改装,1900.0
881,甲陽園,8.0,4.0,３ＬＤＫ,70.0,2024.0,24.0,ＲＣ,１中住専,未改装,3200.0
882,甲陽園,1.0,3.0,２ＬＤＫ,50.0,2024.0,53.0,ＲＣ,近隣商業,未改装,800.0
883,甲陽園,3.0,5.0,４ＬＤＫ,155.0,2024.0,47.0,ＳＲＣ,近隣商業,改装済み,5400.0
885,甲陽園,4.0,3.0,２ＬＤＫ,65.0,2024.0,36.0,ＲＣ,近隣商業,未改装,2300.0
887,甲陽園,1.0,3.0,２ＬＤＫ,70.0,2023.0,52.0,ＲＣ,近隣商業,改装済み,2400.0
888,甲陽園,3.0,4.0,３ＬＤＫ,65.0,2023.0,46.0,ＳＲＣ,近隣商業,未改装,1300.0
890,甲陽園,1.0,4.0,３ＤＫ,55.0,2023.0,52.0,ＲＣ,近隣商業,未改装,1000.0
891,甲陽園,3.0,4.0,２ＬＤＫ＋Ｓ,75.0,2023.0,46.0,ＳＲＣ,近隣商業,改装済み,2400.0
892,甲陽園,3.0,4.0,３ＬＤＫ,75.0,2023.0,46.0,ＳＲＣ,近隣商業,改装済み,2400.0
893,甲陽園,1.0,5.0,４ＬＤＫ,75.0,2023.0,52.0,ＲＣ,近隣商業,未改装,2000.0
894,甲陽園,8.0,4.0,３ＬＤＫ,70.0,2023.0,23.0,ＲＣ,１中住専,改装済み,3900.0
895,甲陽園,1.0,3.0,２ＬＤＫ,70.0,2023.0,52.0,ＲＣ,近隣商業,未改装,800.0
896,甲陽園,1.0,3.0,２ＤＫ,50.0,2022.0,51.0,ＲＣ,近隣商業,未改装,960.0
899,甲陽園,3.0,4.0,３ＬＤＫ,65.0,2022.0,45.0,ＳＲＣ,近隣商業,改装済み,1300.0
900,甲陽園,3.0,2.0,１ＬＤＫ,75.0,2021.0,44.0,ＳＲＣ,近隣商業,未改装,2100.0
901,甲陽園,3.0,4.0,３ＬＤＫ,75.0,2021.0,44.0,ＳＲＣ,近隣商業,未改装,1400.0
904,甲陽園,1.0,4.0,３ＬＤＫ,60.0,2020.0,49.0,ＲＣ,近隣商業,未改装,1600.0
905,甲陽園,3.0,5.0,４ＬＤＫ,105.0,2020.0,43.0,ＳＲＣ,近隣商業,改装済み,3200.0
906,甲陽園,4.0,3.0,２ＬＤＫ,60.0,2025.0,25.0,ＲＣ,１中住専,未改装,3000.0
907,甲陽園,4.0,4.0,３ＬＤＫ,90.0,2024.0,24.0,ＲＣ,１中住専,改装済み,6000.0
909,甲陽園,1.0,4.0,３ＬＤＫ,80.0,2022.0,7.0,ＲＣ,１中住専,未改装,5600.0
912,甲陽園,9.0,4.0,３ＬＤＫ,85.0,2024.0,15.0,ＲＣ,１中住専,未改装,3500.0
913,甲陽園,9.0,4.0,３ＬＤＫ,75.0,2024.0,28.0,ＲＣ,１中住専,改装済み,3500.0
914,甲陽園,11.0,5.0,４ＬＤＫ,110.0,2024.0,34.0,ＲＣ,１中住専,未改装,2500.0
915,甲陽園,9.0,4.0,３ＬＤＫ,70.0,2024.0,28.0,ＲＣ,１中住専,改装済み,2400.0
917,甲陽園,9.0,5.0,４ＬＤＫ,85.0,2023.0,14.0,ＲＣ,１中住専,未改装,3400.0
919,甲陽園,9.0,4.0,３ＬＤＫ,70.0,2022.0,13.0,ＲＣ,１中住専,未改装,3200.0
921,甲陽園,11.0,5.0,４ＬＤＫ,110.0,2021.0,31.0,ＲＣ,１中住専,未改装,1500.0
922,西宮(阪神),10.0,4.0,３ＬＤＫ,70.0,2024.0,18.0,ＲＣ,近隣商業,未改装,3300.0
923,西宮(阪神),11.0,5.0,４ＬＤＫ,85.0,2021.0,15.0,ＲＣ,近隣商業,未改装,4200.0
924,甲子園口,14.0,5.0,４ＬＤＫ,85.0,2025.0,21.0,ＲＣ,２中住専,改装済み,5200.0
925,甲子園口,15.0,4.0,３ＬＤＫ,75.0,2024.0,20.0,ＲＣ,１種住居,未改装,3900.0
926,甲子園口,14.0,4.0,３ＬＤＫ,85.0,2024.0,20.0,ＲＣ,２中住専,未改装,3500.0
927,甲子園口,13.0,4.0,３ＬＤＫ,65.0,2022.0,15.0,ＲＣ,１種住居,未改装,2900.0
929,甲子園口,10.0,4.0,３ＬＤＫ,65.0,2021.0,22.0,ＲＣ,２種住居,未改装,2700.0
931,甲子園口,13.0,5.0,４ＬＤＫ,95.0,2020.0,16.0,ＲＣ,１種住居,未改装,4700.0
932,甲子園口,10.0,4.0,３ＬＤＫ,65.0,2020.0,21.0,ＲＣ,２種住居,未改装,2300.0
934,甲子園口,13.0,5.0,４ＬＤＫ,80.0,2020.0,16.0,ＲＣ,１種住居,未改装,3600.0
935,甲子園口,13.0,4.0,３ＬＤＫ,75.0,2020.0,16.0,ＲＣ,１種住居,未改装,3300.0
938,夙川,2.0,4.0,３ＬＤＫ,70.0,2024.0,24.0,ＲＣ,１中住専,未改装,6300.0
939,夙川,2.0,4.0,３ＬＤＫ,70.0,2022.0,22.0,ＲＣ,１中住専,改装済み,5600.0
944,武庫川,13.0,4.0,３ＬＤＫ,65.0,2024.0,20.0,ＲＣ,２中住専,改装済み,3900.0
946,武庫川,14.0,4.0,３ＬＤＫ,70.0,2023.0,19.0,ＲＣ,２中住専,改装済み,4000.0
947,武庫川,14.0,5.0,４ＬＤＫ,80.0,2023.0,19.0,ＲＣ,２中住専,改装済み,4000.0
948,武庫川,11.0,4.0,３ＬＤＫ,75.0,2022.0,7.0,ＲＣ,２中住専,未改装,4000.0
950,武庫川,14.0,4.0,３ＬＤＫ,70.0,2020.0,16.0,ＲＣ,２中住専,未改装,3200.0
951,鳴尾・武庫川女子大前,8.0,3.0,２ＬＤＫ,55.0,2021.0,49.0,ＳＲＣ,１種住居,未改装,910.0
953,鳴尾・武庫川女子大前,9.0,3.0,２ＬＤＫ,60.0,2020.0,48.0,ＳＲＣ,１種住居,改装済み,1800.0
954,鳴尾・武庫川女子大前,8.0,3.0,２ＬＤＫ,55.0,2020.0,48.0,ＳＲＣ,１種住居,未改装,730.0
955,武庫川,8.0,3.0,２ＬＤＫ,55.0,2024.0,52.0,ＳＲＣ,１種住居,改装済み,1600.0
956,武庫川,8.0,3.0,２ＬＤＫ,55.0,2024.0,37.0,ＳＲＣ,１種住居,未改装,1800.0
957,武庫川,7.0,3.0,２ＬＤＫ,55.0,2023.0,33.0,ＲＣ,１種住居,改装済み,2300.0
958,武庫川,8.0,3.0,２ＬＤＫ,70.0,2022.0,50.0,ＳＲＣ,１種住居,未改装,1600.0
959,武庫川,8.0,4.0,３ＬＤＫ,80.0,2022.0,31.0,ＲＣ,１種住居,改装済み,2800.0
960,武庫川,9.0,3.0,２ＬＤＫ,55.0,2022.0,50.0,ＳＲＣ,１種住居,未改装,900.0
961,武庫川,10.0,3.0,２ＤＫ,55.0,2021.0,49.0,ＳＲＣ,１種住居,未改装,85.0
962,武庫川,7.0,4.0,２ＬＤＫ＋Ｓ,55.0,2021.0,31.0,ＲＣ,１種住居,改装済み,2400.0
964,武庫川,4.0,4.0,３ＬＤＫ,85.0,2025.0,4.0,ＲＣ,１種住居,未改装,6500.0
965,武庫川,4.0,4.0,３ＬＤＫ,65.0,2023.0,2.0,ＲＣ,１種住居,未改装,3800.0
966,武庫川,5.0,4.0,３ＬＤＫ,65.0,2021.0,0.0,ＲＣ,１種住居,未改装,4300.0
968,夙川,18.0,4.0,３ＬＤＫ,75.0,2020.0,23.0,ＳＲＣ,１中住専,未改装,2500.0
969,苦楽園口,11.0,5.0,４ＬＤＫ,85.0,2025.0,27.0,ＲＣ,１低住専,未改装,4200.0
970,苦楽園口,11.0,4.0,３ＬＤＫ,75.0,2023.0,25.0,ＲＣ,１低住専,改装済み,4100.0
971,苦楽園口,9.0,4.0,３ＬＤＫ,80.0,2023.0,9.0,ＲＣ,１低住専,未改装,6200.0
972,苦楽園口,9.0,4.0,３ＬＤＫ,85.0,2023.0,9.0,ＲＣ,１低住専,未改装,5400.0
973,苦楽園口,10.0,3.0,２ＬＤＫ,100.0,2023.0,19.0,ＲＣ,１低住専,未改装,7300.0
974,苦楽園口,11.0,4.0,３ＬＤＫ,75.0,2022.0,24.0,ＲＣ,１低住専,未改装,3200.0
979,鳴尾・武庫川女子大前,6.0,4.0,３ＬＤＫ,65.0,2021.0,23.0,ＲＣ,１種住居,未改装,2600.0
980,さくら夙川,4.0,3.0,２ＬＤＫ,60.0,2023.0,23.0,ＲＣ,近隣商業,未改装,2800.0
